trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2024-11-27 18:40:10,6011893664860915,fraud_Auer-West,shopping_net,27.36,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,5f24c2c9ff678bc4e14ed31a3ab18629,1732732810424,39.683536,-104.826267,0
2024-11-27 18:40:13,30199621383748,fraud_Fisher-Schowalter,shopping_net,388.29,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,14303270ad2084e58d46f891712de910,1732732813841,34.194154,-95.977053,0
2024-11-27 18:40:17,6011681934117244,fraud_Torphy-Kertzmann,health_fitness,80.58,Kaitlyn,Newman,F,098 Stewart Hill,Slayden,TN,37165,36.2835,-87.4581,70,Prison officer,1956-06-22,11598342282d0045e7522e082a32a629,1732732817219,35.981747,-88.410468,0
2024-11-27 18:40:20,4449530933957323,fraud_Jast Ltd,shopping_net,1.32,Felicia,Mckee,F,84079 Thomas Burgs,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,9c2e5f2f610a0e1ade66574df67085fb,1732732820690,38.804599,-123.444407,0
2024-11-27 18:40:25,4586810168620942,fraud_Leannon-Ward,food_dining,20.37,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,7c6140caf80b1fcfc28b5ddc18bfb2ac,1732732825237,32.795534,-80.108796,0
2024-11-27 18:40:28,213178850083780,fraud_Lynch Ltd,shopping_pos,149.01,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1976-10-18,42aac39e05b03d533ef665b62fe58495,1732732828669,44.918723,-118.16885,0
2024-11-27 18:40:32,4428780983793657331,fraud_Daugherty-Thompson,food_dining,259.33,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1946-01-02,be6d8355f4139a3e781de3be6daeb1a1,1732732832074,42.359042,-87.249616,0
2024-11-27 18:40:35,4908846471916297,fraud_Upton PLC,entertainment,104.69,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",1992-07-24,b066175dd173ee7a34b850b530f1b5cd,1732732835486,32.852221,-97.898946,0
2024-11-27 18:40:38,6011893664860915,"fraud_Medhurst, Labadie and Gottlieb",travel,1.32,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,f09cf9a1c705ae5f5d2b4ac7989b2e17,1732732838958,39.30066,-105.893169,0
2024-11-27 18:41:37,676195318214,"fraud_Kohler, Lindgren and Koelpin",grocery_net,45.33,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",1983-07-24,4cff9d3b708fd0f4a174f2506dd73fdc,1732732897461,29.225821,-96.964307,0
2024-11-27 18:41:40,675945690716,fraud_Kirlin and Sons,personal_care,66.46,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,2000-06-09,e73573e09576ca124bb061a0acd4c83e,1732732900885,41.348676,-81.136344,0
2024-11-27 18:41:44,6011252220172077,"fraud_Monahan, Bogisich and Ledner",misc_pos,117.92,Melvin,Wright,M,210 Dean Causeway Suite 130,Alton,IA,51003,42.9782,-96.0173,1700,"Engineer, land",2001-12-19,51c0e26c07dc0c2b91b22d0102ce77d5,1732732904324,43.917854,-96.814097,0
2024-11-27 18:41:49,4044436772018844508,fraud_Rowe-Vandervort,grocery_net,45.42,Amy,Abbott,F,01505 Amy Stravenue,Dayton,OH,45415,39.8355,-84.2613,479994,Environmental manager,1970-11-09,60ccd1a010fb61cc9241a73802a75cde,1732732909656,40.119779,-84.338249,0
2024-11-27 18:41:55,3535808924394848,fraud_Nienow PLC,entertainment,74.13,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1980-01-09,161739a48bdd31f5d41e1f4eca0e3a6b,1732732915340,39.194573,-88.940141,0
2024-11-27 18:41:58,4247921790666,fraud_McDermott-Rice,misc_pos,5.53,Judith,Moss,F,46297 Benjamin Plains Suite 703,Washington Court House,OH,43160,39.537,-83.455,22305,Television floor manager,1939-03-09,40005edd7834ab28f390fac672a7af51,1732732918909,40.504057,-83.100769,0
2024-11-27 18:42:02,3598215285024754,fraud_Wiza LLC,misc_pos,2.99,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,3090d11346a79a024984e5373fb6099c,1732732922391,40.954388,-74.206938,0
2024-11-27 18:42:06,4210078554961359092,"fraud_Medhurst, Labadie and Gottlieb",travel,2.09,Valerie,Clark,F,7402 West Ranch,Lowell,OR,97452,43.921,-122.7806,1420,Systems analyst,1965-11-11,b9bea1f6274c744c8e3c90ae45cead9c,1732732926027,44.606538,-122.731518,0
2024-11-27 18:42:09,4642894980163,"fraud_Schiller, Blanda and Johnson",home,60.91,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,da7e9665c2187df3cfd046756358aa43,1732732929483,40.15951,-94.971248,0
2024-11-27 18:42:13,4259996134423,fraud_Bins-Tillman,entertainment,94.89,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,1968-11-22,8da0c9d5e9c9b2089903a4b4f72ff0af,1732732933006,38.303767,-99.499178,0
2024-11-27 18:42:17,213195754007681,fraud_Kling-Ernser,entertainment,88.23,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,1969-07-24,5d8fce8cdf181d0c8ad4a2bded9bb8e1,1732732937917,40.770993,-92.222089,0
2024-11-27 18:42:21,3585052663373890,fraud_Morissette-Schaefer,personal_care,19.98,Jeffery,Brown,M,296 Maria Street,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28,37a0f10444907aa5e9bfaee86f4a4ae7,1732732941303,42.568515,-76.353158,0
2024-11-27 18:42:24,3552581383553463,fraud_Heaney-Marquardt,entertainment,29.78,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,f2ee6672f21850f680338b62f6599077,1732732944785,35.62985,-84.537487,0
2024-11-27 18:42:28,6011148190095209,fraud_Adams-Barrows,health_fitness,46.41,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,fb5d6e27a95b9e7086e3a124f6c9f4da,1732732948234,37.727039,-121.843545,0
2024-11-27 18:42:31,4301028321766222513,fraud_Haley Group,misc_pos,44.2,Joe,Howard,M,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary/administrator,1978-10-26,05b99f886d67354fc13d6efcc25c672e,1732732951633,40.456309,-81.340077,0
2024-11-27 18:42:35,4464457352619,fraud_Weimann-Lockman,kids_pets,109.18,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,cae5c2485efdfe506bb097d2cf9692c8,1732732955014,30.007147,-83.740597,0
2024-11-27 18:42:40,6011438889172900,fraud_Haag-Blanda,food_dining,66.85,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1993-04-08,e7b801ea2a2fb1c1e02bd951c20f6aa6,1732732960426,34.687025,-92.33203,0
2024-11-27 18:42:43,2286236465059468,fraud_Parisian and Sons,gas_transport,46.9,Morgan,Murray,F,2788 Brittney Island,Blairstown,MO,64726,38.5319,-93.9221,467,Agricultural consultant,1950-05-27,87e57d05f655297c6be53e3fa9e77c25,1732732963837,39.143504,-94.448472,0
2024-11-27 18:42:47,376656886990758,fraud_Prohaska-Murray,gas_transport,59.1,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",1985-12-03,bbc461599df37fcf211bb62d03832570,1732732967229,30.572549,-93.560756,0
2024-11-27 18:42:50,3529597810116815,"fraud_Christiansen, Goyette and Schamberger",gas_transport,44.25,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,40.4679,-77.8967,1334,Archaeologist,1986-12-17,05b4619c65ae732139b05bd99baaf0c8,1732732970635,41.239281,-78.022054,0
2024-11-27 18:42:54,3521815216091574,"fraud_Wuckert, Wintheiser and Friesen",home,70.62,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,a08b7e5a892c02dc16279f93e46040f8,1732732974099,40.007079,-105.718059,0
2024-11-27 18:42:57,345933964507467,fraud_Crooks and Sons,personal_care,68.27,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,1985-03-19,9ff3d6910b39840cd192c75f557a259b,1732732977514,37.821317,-75.267063,0
2024-11-27 18:43:02,3518234918950662,fraud_Erdman-Schaden,personal_care,26.97,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1970-09-11,f8f7c2df8f7d56447e38cc9414700746,1732732982923,34.296147,-96.340622,0
2024-11-27 18:43:06,4170689372027579,fraud_Hudson-Ratke,grocery_pos,44.12,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,af7657b6ae1aae0ba27a876bfa4d9382,1732732986378,36.464621,-98.322398,0
2024-11-27 18:43:09,4328928491302401,fraud_Kihn-Schuster,food_dining,49.75,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,db1008938f673578b36e8bbad680df5e,1732732989849,42.878761,-88.646204,0
2024-11-27 18:43:13,373043435942726,fraud_Daugherty-Thompson,food_dining,61.74,Vincent,Richards,M,2064 Tyler Fork,Beasley,TX,77417,29.479,-95.9681,2457,Trading standards officer,1981-03-04,ec3ea8d2820e081e626d0361779b9ef8,1732732993321,28.710952,-95.232424,0
2024-11-27 18:43:16,6011860238257910,fraud_Pollich LLC,home,2.84,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,a8816deb0c9155809268674b869dd668,1732732996788,36.050239,-97.23245,0
2024-11-27 18:43:20,30501624614310,fraud_Adams-Barrows,health_fitness,14.51,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,db2a86dda9c05ca5a90b8536083eb366,1732733000253,32.452171,-82.151869,0
2024-11-27 18:43:25,4761403817546679245,fraud_Hermann-Gaylord,misc_pos,3.6,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,4ae8c4101c65192b7311fe3ccd72ec24,1732733005391,36.882037,-91.505887,0
2024-11-27 18:43:28,4862293128558,fraud_Terry Ltd,home,44.17,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1956-09-15,9fd8133e67fe02e52e3b2e12518684e9,1732733008841,40.617489,-78.825299,0
2024-11-27 18:43:32,4538566639857,fraud_Tillman LLC,travel,2.42,Jerry,Kelly,M,3539 Mckenzie Stream,Fairview,NJ,7022,40.817,-74.0,13835,"Programmer, multimedia",1967-05-28,97e3a7c7cca3ec38529971a0a88f2495,1732733012334,40.336172,-73.458508,0
2024-11-27 18:43:35,4209696857872688515,"fraud_Prosacco, Kreiger and Kovacek",home,22.95,Sarah,Bell,F,6963 Russell Causeway Suite 231,Galatia,IL,62935,37.8274,-88.6235,1943,"Restaurant manager, fast food",1971-10-19,09f07c06f6896fa9599936a5907be4fd,1732733015779,36.99992,-87.991923,0
2024-11-27 18:43:39,4683520018489354,fraud_Torphy-Goyette,shopping_pos,2.43,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19,7fccb737df183a6c88af365ddd797bc2,1732733019202,33.006385,-118.695336,0
2024-11-27 18:43:42,4342532437704183,"fraud_Prosacco, Kreiger and Kovacek",home,83.07,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16,92ebf8f410efb405bf473af844e478b3,1732733022582,41.236578,-76.11286,0
2024-11-27 18:43:46,6011388901471808,fraud_Bechtelar-Rippin,food_dining,19.44,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,d842a8961a53dbf9bf711c0d3682798e,1732733026006,39.531694,-80.75588,0
2024-11-27 18:43:50,4198470814557,"fraud_Zieme, Bode and Dooley",gas_transport,57.24,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971-08-20,43e3a3c4a943e433fc2351bcbce9c0c2,1732733030587,42.465293,-95.779026,0
2024-11-27 18:43:54,374238209524200,fraud_Zemlak Group,misc_net,6.78,Daniel,Martinez,M,8510 Acevedo Burgs,Kent,OR,97033,45.0838,-120.6649,60,Museum education officer,1942-04-03,c2094526d4085ad70625ce08debb7dc9,1732733034053,44.338794,-120.669106,0
2024-11-27 18:43:57,3535808924394848,fraud_Stracke-Lemke,grocery_pos,101.31,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1980-01-09,de280af19925ec105d5acd1aa075bcb7,1732733037476,39.287644,-89.862571,0
2024-11-27 18:44:00,630424987505,fraud_Romaguera and Sons,travel,1.19,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1981-08-29,b001a30ac4ba924266016d7abfe25a47,1732733040956,39.843564,-80.316163,0
2024-11-27 18:44:04,3508104404056005,fraud_Runolfsson and Sons,grocery_net,69.74,Michael,Fisher,M,401 Escobar Port,East Troy,WI,53120,42.8035,-88.4092,9679,"Engineer, production",1991-04-11,d73057d64486f7755c6cbdeea6800521,1732733044361,42.934041,-87.9236,0
2024-11-27 18:44:07,345933964507467,fraud_Yost-Rogahn,personal_care,152.36,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,1985-03-19,03fd7de5ba88f9eeb94d913b7fede85b,1732733047792,38.051546,-74.570465,0
2024-11-27 18:44:11,4319584480204988982,fraud_Romaguera Ltd,health_fitness,13.23,Kathleen,Nash,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,1960-02-01,0e35a581417c76c88de476e447449d9e,1732733051184,37.22436,-82.348502,0
2024-11-27 18:44:15,4642894980163,fraud_Padberg-Welch,grocery_pos,61.53,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,67dd1e9842a8221a8b6b792918d5c257,1732733055800,40.758657,-95.554319,0
2024-11-27 18:44:19,4446368897795790,fraud_Williamson LLC,misc_pos,31.16,Ryan,Joseph,M,8850 Jessica Center,Atlantic,VA,23303,37.9073,-75.5089,741,"Geologist, engineering",1986-08-17,ab9e6f365ee89e446d07caf3d460e251,1732733059218,37.240311,-76.497923,0
2024-11-27 18:44:22,180014262259255,fraud_Upton PLC,entertainment,50.96,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,1958-06-26,100cd36e8ea25e309f7bbe7445d7abe8,1732733062647,32.036844,-85.480765,0
2024-11-27 18:44:26,344709867813900,"fraud_Roob, Conn and Tremblay",shopping_pos,6.53,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,1986-01-30,4e7b40efe01c06863952de52b93c9a37,1732733066029,27.829759,-81.51486,0
2024-11-27 18:44:29,3556613125071656,fraud_Turner and Sons,shopping_pos,7.19,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1999-12-27,0408ba4783d661e4d6839bcfa69fedbf,1732733069462,28.285792,-96.089501,0
2024-11-27 18:44:32,4457732997086323466,"fraud_Zieme, Bode and Dooley",gas_transport,61.11,Stanley,Mayo,M,3433 Jones Branch,Fiddletown,CA,95629,38.5234,-120.6763,832,Immigration officer,1987-05-19,ac4121efa879877f8552b05c8649dc83,1732733072880,38.197018,-120.135571,0
2024-11-27 18:44:36,4634955908138648,fraud_McDermott-Rice,misc_pos,7.73,Mackenzie,Smith,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,"Engineer, automotive",1973-12-26,a8cc8f7894721ef5a713a123b7707f83,1732733076279,42.121083,-96.918559,0
2024-11-27 18:44:40,374821819075109,fraud_Reilly LLC,home,14.75,Zachary,Boone,M,3703 Benson Wells,Palmyra,NY,14522,43.0622,-77.2218,9565,Exhibition designer,1927-12-11,e316d6b93ae880ef8b744506fd89d920,1732733080845,43.22833,-77.937901,0
2024-11-27 18:44:44,2269768987945882,fraud_Lockman Ltd,grocery_pos,112.51,Shannon,Patterson,F,9808 Ellis Bypass,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29,2dcab9c589e8125113c75cdc6b80232c,1732733084286,42.068493,-77.28291,0
2024-11-27 18:44:47,4585132874641,"fraud_Hayes, Marquardt and Dibbert",misc_net,8.03,Karen,Gordon,F,543 Ware Path Apt. 593,Utica,MO,64686,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,7703d2555516b32aebc35fe81e0579fe,1732733087719,40.237232,-92.803432,0
2024-11-27 18:44:51,4587657402165341815,fraud_Heller-Langosh,gas_transport,53.44,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,9822febfc779391a66b89d007a8bbd2f,1732733091141,41.422802,-87.410629,0
2024-11-27 18:44:54,36153880429415,fraud_Botsford and Sons,home,329.03,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,1949-10-13,dda30ded6c57f4c10c9cb6e924eb75f8,1732733094517,27.824361,-81.050514,0
2024-11-27 18:44:57,374125201044065,fraud_Jewess LLC,shopping_pos,5.08,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1970-07-20,75052fcd3033aafe62361ec28ba18aab,1732733097940,38.975471,-77.92535,0
2024-11-27 18:45:01,4587657402165341815,"fraud_Kerluke, Kertzmann and Wiza",misc_net,102.93,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,995e05d3f11dd10e691f320c198ee110,1732733101393,40.497929,-88.365342,0
2024-11-27 18:45:08,344342339068828,"fraud_Bahringer, Osinski and Block",food_dining,130.88,Ruth,Fuller,F,37732 Joe Courts Apt. 752,Darien,GA,31305,31.3826,-81.4312,5989,Tax adviser,1967-05-05,1d9f0be7d403bac6c0cc52a0c9b51fe6,1732733108297,31.703929,-82.253675,0
2024-11-27 18:45:11,3533742182628021,fraud_Schoen Ltd,kids_pets,56.01,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,41fad87a440c958c74ab09e5fb0bdd4f,1732733111748,33.159339,-80.743221,0
2024-11-27 18:45:15,3537797820923602,"fraud_Stroman, Hudson and Erdman",gas_transport,84.96,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,1969-03-20,1cf9c2c1995376b85293456c721369db,1732733115180,46.951605,-120.196609,0
2024-11-27 18:45:18,4908846471916297,fraud_Pouros-Conroy,shopping_pos,3.24,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",1992-07-24,1490480d489decd47f868554b6625a1e,1732733118706,33.19473,-98.022573,0
2024-11-27 18:45:22,6011348830550197,fraud_Bins-Tillman,entertainment,1.63,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,6ea76eec9610906008373e63b97fb9ea,1732733122121,32.993833,-87.028915,0
2024-11-27 18:45:25,4003989662068504,fraud_Torp-Lemke,misc_pos,9.37,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,1989-02-08,0819e5b50ee7ebbc3a779a28d9e24358,1732733125564,33.852994,-87.631228,0
2024-11-27 18:45:30,4373370572092720777,fraud_Hudson-Grady,shopping_pos,3.25,Hailey,Rhodes,F,337 Michael Harbors Suite 722,Michigan,ND,58259,48.0204,-98.1186,454,"Producer, television/film/video",1972-07-29,7a6232690e3cc693d65b8a3dfbab7963,1732733130145,47.162617,-97.588951,0
2024-11-27 18:45:33,6011148190095209,"fraud_Heathcote, Yost and Kertzmann",shopping_net,4.15,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,567d18856d80cde295aa98a3aa2385a2,1732733133565,37.2639,-123.273479,0
2024-11-27 18:45:37,5130484058948421,"fraud_Denesik, Powlowski and Pouros",home,68.23,Ronald,White,M,25713 Hamilton Grove Apt. 903,Beaverdam,OH,45808,40.8314,-83.9758,349,Museum/gallery conservator,1978-12-25,cfc7111839ebed04dbd39ca05d6f6c12,1732733137001,39.896329,-84.90728,0
2024-11-27 18:45:40,4646845581490336108,fraud_Hintz-Bruen,grocery_net,61.26,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,51c98ef4673d3161889b6f990309c222,1732733140409,40.107991,-73.586868,0
2024-11-27 18:45:43,4710826438164847414,"fraud_Rodriguez, Yost and Jenkins",misc_net,1.2,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,2335c4ec9cb3cbd063afd3e5542801e6,1732733143805,48.491867,-108.664456,0
2024-11-27 18:45:47,4939976756738216,"fraud_Little, Gutmann and Lynch",shopping_net,18.97,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,accfc44abc3704952b54e67a06809ed1,1732733147238,26.549305,-98.079725,0
2024-11-27 18:45:52,375082648741747,"fraud_Rowe, Batz and Goodwin",grocery_pos,113.81,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,6b95ebfc8cc7899c67dd2986f33d7dc4,1732733152786,47.955497,-96.627928,0
2024-11-27 18:45:56,213156747557083,fraud_Bernier and Sons,kids_pets,35.19,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,4f3b909d620e66e29ab95e326f66a77b,1732733156178,33.419673,-119.060771,0
2024-11-27 18:45:59,4862293128558,fraud_Dibbert-Green,entertainment,48.9,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1956-09-15,2689a1a2fb97698492649bd70c9d7229,1732733159596,40.327546,-78.495982,0
2024-11-27 18:46:02,213113338379864,fraud_Pfeffer and Sons,shopping_pos,4.16,Larry,Vaughan,M,83555 Melinda Spurs,Kingsville,MD,21087,39.4558,-76.4147,5451,Science writer,1961-12-05,6d2df0adf00b0660dd8801d5ce1f475e,1732733162983,39.535652,-77.048437,0
